"DisplayName","DisplayVersion","Publisher","InstallDate"
"µTorrent","3.5.5.45790","BitTorrent Inc.",
"1527c705-839a-4832-9118-54d4Bd6a0c89","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"28466Polysoft.SimpleContacts","2.3.5.0","CN=44AF4FB5-F779-4E31-8548-13B1615E98FA",
"3D4Medical.comLLC.CompleteAnatomy","12.2.2.0","CN=9963410B-B57E-49F4-9A17-94C70C3F5932",
"5319275A.WhatsAppDesktop","2.2616.100.0","CN=24803D75-212C-471A-BC57-9EF86AB91435",
"7-Zip 25.01 (x64)","25.01","Igor Pavlov",
"89006A2E.AutodeskSketchBook","5.1.0.0","CN=F6FD12B7-9E18-42B8-BA81-AA4ED127C991",
"91750D7E.Slack","4.50.121.0","CN=B25A2379-D5D0-455B-826A-BFFC7EBB5713",
"A360 Desktop","6.0.3.1100","Autodesk","20191203"
"AdobeAcrobatDCCoreApp","21.10.15.6","CN=Adobe Inc., OU=Adobe Inc., O=Adobe Inc., L=San Jose, S=ca, C=US, SERIALNUMBER=2748129, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US, OID.2.5.4.15=Private Organization",
"Anaconda3 2025.12-2 (Python 3.13.9 64-bit)","2025.12-2","Anaconda, Inc.",
"AppleInc.AppleDevices","1.1540.23042.0","CN=5BD5593D-A41B-4F89-884E-B4F3E0FBAA75",
"AppleInc.iCloud","15.7.56.0","CN=5BD5593D-A41B-4F89-884E-B4F3E0FBAA75",
"AppleInc.iTunes","12139.10003.61011.0","CN=5BD5593D-A41B-4F89-884E-B4F3E0FBAA75",
"Autodesk Access","2.21.0.559","Autodesk, Inc.","20260312"
"Autodesk CER","7.2.2.923","Autodesk Inc.","20260312"
"Autodesk Content Service","3.2.0.0","Autodesk","03.12.2019"
"Autodesk Content Service","3.2.0.0","Autodesk","20191203"
"Autodesk Content Service Language Pack","3.2.0.0","Autodesk","20191203"
"Autodesk Genuine Service","5.0.0.134","Autodesk","20220720"
"Autodesk Identity Manager","1.11.9.11","Autodesk","20240606"
"Autodesk Single Sign On Component","11.3.0.1803","Autodesk","20220405"
"Backup and Sync from Google","3.57.4256.0809","Google, Inc.","20220215"
"Bonjour","3.1.0.1","Apple Inc.","20200428"
"c5e2524a-ea46-4f67-841f-6a9465d9d515","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Claude","1.6259.1.0","CN=""Anthropic, PBC"", O=""Anthropic, PBC"", L=San Francisco, S=California, C=US, SERIALNUMBER=4860621, OID.2.5.4.15=Private Organization, OID.1.3.6.1.4.1.311.60.2.1.2=Delaware, OID.1.3.6.1.4.1.311.60.2.1.3=US",
"Clipchamp.Clipchamp","4.5.10520.0","CN=33F0F141-36F3-4EC2-A77D-51B53D0BA0E4",
"Comet","147.0.7727.1860","Авторы Comet","20260506"
"CrystalDiskMark 9.0.1","9.0.1","Crystal Dew World","20251219"
"DBeaver 26.0.0 (current user)","26.0.0","DBeaver Corp",
"DiagnosticsHub_CollectionService","18.0.36317","Microsoft Corporation","20251124"
"Docker Desktop","4.71.0","Docker Inc.",
"Documentation Manager","22.200.2.1","Intel Corporation","20251123"
"Dolby Atmos Windows API SDK","1.1.9.33","Dolby Laboratories, Inc.","20251124"
"Dolby Atmos Windows APP","1.1.6.22","Dolby Laboratories, Inc.","20251124"
"DolbyLaboratories.DolbyAccess","3.27.9430.0","CN=58D26209-1D57-482C-B403-B655571B5C7B",
"draw.io 29.0.3","29.0.3","JGraph",
"E2A4F912-2574-4A75-9BB0-0D023378592B","10.0.19640.1000","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"Eclipse Temurin JDK with Hotspot 25+36 (x64)","25.0.0.36","Eclipse Adoptium","20251026"
"Exodus","20.3.23","Exodus Movement Inc","20210622"
"F46D4000-FD22-4DB4-AC8E-4E1DDDE828FE","10.0.26100.1","CN=Microsoft Windows, O=Microsoft Corporation, L=Redmond, S=Washington, C=US",
"FlClashX, версия 0.2.1","0.2.1",,"20251019"
"Git","2.52.0","The Git Development Community","20251204"
"GitHub Desktop","3.5.8","GitHub, Inc.","20260502"
"Google Drive","125.0.0.0","Google LLC",
"Google Earth Pro","7.3.7.1155","Google","20260410"
"GPL Ghostscript","10.06.0","Artifex Software Inc.",
"HWiNFO® 64","8.34","Martin Malik, REALiX s.r.o.","20251124"
"icecap_collection_x64","15.8.27906","Microsoft Corporation","20210729"
"icecap_collection_x64","17.14.36015","Microsoft Corporation","20250914"
"icecap_collection_x64","18.0.11101","Microsoft Corporation","20251124"
"iCloud Outlook","14.0.0.162","Apple Inc.","20221126"
"iMazing","3.4.0.8","DigiDNA","20251210"
"Intel(R) Chipset Device Software","10.1.1.44","Intel Corporation","20180712"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20180712"
"Intel(R) Management Engine Components","1.0.0.0","Intel Corporation","20180712"
"Intel(R) Management Engine Components","11.7.0.1035","Intel Corporation",
"Intel(R) ME UninstallLegacy","1.0.1.0","Intel Corporation","20180712"
"Intel(R) PRO/Wireless Driver","20.100.0000.0143","Intel Corporation","20190428"
"Intel(R) Serial IO","30.100.1713.2","Intel Corporation",
"Intel(R) Serial IO","30.100.1713.2","Intel Corporation","20180712"
"Intel(R) Trusted Connect Service Client","1.45.447.1","Intel Corporation","20180712"
"IntelliTraceProfilerProxy","15.0.21225.01","Microsoft Corporation","20250914"
